ACC_NUCCORE,CreateDate_NUCCORE,GC_NUCCORE,Host_BIOSAMPLE,IsolationSource_BIOSAMPLE,Length_NUCCORE,Location_BIOSAMPLE,SamplType_BIOSAMPLE,Topology_NUCCORE,loc_lat,loc_lng,loc_parsed,plasmidfinder,pmlst,taxon_class_name,taxon_family_name,taxon_genus_name,taxon_name,taxon_order_name,taxon_phylum_name,taxon_species_name,taxon_superkingdom_name,D1,D2
CP048869.1,2020-08-10,53.00687285223368,Homo sapiens,urine,65184,USA,,circular,39.7837304,-100.4458825,USA,"IncFII(pCoo)_1, CR942285, ",IncF RST(F106:A-:B-):FIA(-);FIB(-);FIC(-);FII(106);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.5792837,10.75878
CP048868.1,2020-08-10,51.63690310202898,Homo sapiens,urine,179302,USA,,circular,39.7837304,-100.4458825,USA,"IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncFII(pRSB107)_1, AJ851089, |IncFIA_1, AP001918, ","IncF RST(F1:A-:B-):FIA(1,6);FIB(58?);FIC(3?);FII(1);FIIK(-);FIIS(-);FIIY(-)",Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-1.9777797,6.1007
CP048866.1,2020-08-10,51.84156828450664,Homo sapiens,blood,137220,Belgium: Antwerp,,circular,51.16,4.41,,"IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, ",IncF RST(F-:A-:B-):FIA(-);FIB(10?);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.6226434000000001,11.716874
CP048864.1,2020-08-10,50.46810363596778,Homo sapiens,blood,4593,Belgium: Antwerp,,circular,51.16,4.41,,"ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),6.7221766,18.750782
CP048862.1,2020-08-10,51.48771021992238,Homo sapiens,blood,1546,Belgium: Antwerp,,circular,51.16,4.41,,"Col(MG828)_1, NC_008486, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-1.3145278,-4.8451614
CP048861.1,2020-08-10,51.83901854695426,Homo sapiens,blood,124387,Belgium: Antwerp,,circular,51.16,4.41,,"IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, |IncFII(pRSB107)_1, AJ851089, |IncFIA_1, AP001918, ","IncF RST(F1:A-:B-):FIA(1,6);FIB(20?);FIC(3?);FII(1);FIIK(-);FIIS(-);FIIY(-)",Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-1.8229704,6.1763330000000005
CP048859.1,2020-08-10,48.64916650699367,Homo sapiens,blood,5219,Belgium: Antwerp,,circular,51.16,4.41,,"ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),9.147243,5.5568852
CP048858.1,2020-08-10,51.00378671399327,Homo sapiens,blood,113819,Belgium: Antwerp,,circular,51.16,4.41,,"IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncFII(29)_1, CP003035, ",IncF RST(F29:A-:B-):FIA(-);FIB(10?);FIC(-);FII(29);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.55666816,11.938775
CP048856.1,2020-08-10,51.03514821279072,Homo sapiens,blood,70473,USA,,circular,39.7837304,-100.4458825,USA,"IncFII(pRSB107)_1, AJ851089, ",IncF RST(F4:A-:B-):FIA(-);FIB(-);FIC(3?);FII(4);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.8185097,11.282362
CP048854.1,2020-08-10,49.4304595101144,Homo sapiens,urine,123784,USA,,circular,39.7837304,-100.4458825,USA,"IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, ",IncF RST(F52:A-:B-):FIA(-);FIB(24?);FIC(-);FII(52);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.5493406,11.915019
CP025978.1,2020-02-06,45.90438195740301,Homo sapiens,stool,46623,Chile: Santiago,,circular,-33.4489,-70.6693,,"IncFIB(AP001918)_1, AP001918, ",IncF RST(F-:A-:B-):FIA(-);FIB(~42);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.1031731000000002,10.635269
CP025977.1,2020-02-06,46.76838565264877,Homo sapiens,stool,92477,Chile: Santiago,,circular,-33.4489,-70.6693,,"IncFII_1, AY458016, ",IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(~84);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.4855694,10.46487
CP025975.1,2020-02-06,45.90438195740301,Homo sapiens,stool,46623,Chile: Santiago,,circular,-33.4489,-70.6693,,"IncFIB(AP001918)_1, AP001918, ",IncF RST(F-:A-:B-):FIA(-);FIB(~42);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.0848913,10.635695
CP025974.1,2020-02-06,46.767374214686576,Homo sapiens,stool,92479,Chile: Santiago,,circular,-33.4489,-70.6693,,"IncFII_1, AY458016, ",IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(~84);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.4727643,10.47231
CP025972.1,2020-02-06,45.90438195740301,Homo sapiens,stool,46623,Chile: Santiago,,circular,-33.4489,-70.6693,,"IncFIB(AP001918)_1, AP001918, ",IncF RST(F-:A-:B-):FIA(-);FIB(67?);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.1114165,10.597919
CP025971.1,2020-02-06,46.76636282047123,Homo sapiens,stool,92481,Chile: Santiago,,circular,-33.4489,-70.6693,,"IncFII_1, AY458016, ",IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(~84);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.4895377,10.457302
CP025969.1,2020-02-06,49.15340160194667,Homo sapiens,stool,9863,Chile: Santiago,,circular,-33.4489,-70.6693,,"Col440I_1, CP023920, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),9.025649,5.681004
CP025968.1,2020-02-06,48.567968871135655,Homo sapiens,stool,135437,Chile: Santiago,,circular,-33.4489,-70.6693,,"IncFII_1, AY458016, ",IncF RST(F11:A-:B-):FIA(-);FIB(-);FIC(5?);FII(11);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.5591158,10.574442
CP041748.1,2020-01-14,47.503227641742704,Homo sapiens,stool,91398,South Korea: Busan,,circular,35.13,129.1,,"IncFII_1, AY458016, |IncFIB(AP001918)_1, AP001918, ",IncF RST(F23:A-:B3):FIA(-);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),10.603635,-12.074167999999998
CP044351.1,2019-10-02,47.1390817469205,Homo sapiens,feces,111625,,,circular,,,,"IncX4_2, FN543504, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),14.644084,9.365325
CP043022.1,2019-08-26,42.32249038125219,Homo sapiens,feces,5718,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,"Col156_1, NC_009781, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),11.863966,15.377459
CP043021.1,2019-08-26,42.03155468888495,Homo sapiens,feces,5641,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,"Col156_1, NC_009781, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),11.865645,15.379225
CP043020.1,2019-08-26,47.74407313445893,Homo sapiens,feces,91448,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,"IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, ",IncF RST(F23:A-:B3):FIA(-);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.28384212,-5.913917
CP043014.1,2019-08-26,42.18829620268645,Homo sapiens,feces,49061,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,"IncI2(Delta)_1, AP002527, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),12.591959,-6.0704536
CP043013.1,2019-08-26,41.85676392572945,Homo sapiens,feces,3770,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,"ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),8.891372,6.537966
CP043012.1,2019-08-26,48.79130670592338,Homo sapiens,feces,103252,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,"IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, ",IncF RST(F23:A-:B3):FIA(-);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.27091366,-5.9063993
CP043024.1,2019-08-26,51.70953521468986,Homo sapiens,feces,28809,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,,,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),19.062332,6.498216
CP043023.1,2019-08-26,46.96173681262434,Homo sapiens,feces,103546,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,"IncFII_1, AY458016, |IncFIB(AP001918)_1, AP001918, ",IncF RST(F23:A-:B3):FIA(-);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.26202747,-5.901101000000001
CP043018.1,2019-08-26,49.39462802220318,Homo sapiens,feces,53686,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,,,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.0014536,9.7039795
CP043017.1,2019-08-26,42.43665260883204,Homo sapiens,feces,57382,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,"IncI2(Delta)_1, AP002527, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),12.532298,-6.0063653
CP043016.1,2019-08-26,47.74074317083306,Homo sapiens,feces,91446,United Kingdom,,circular,54.70235450000001,-3.2765753,United Kingdom,"IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, ",IncF RST(F23:A-:B3):FIA(-);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.27248132,-5.9056315
CP025880.1,2018-12-19,52.42402160401218,Homo sapiens,stool,46658,India,,circular,20.5937,78.9629,,"IncFII(pHN7A8)_1, JN232517, |IncFII(pSFO)_1, AF401292, ","IncF RST(F6:A-:B-):FIA(-);FIB(-);FIC(-);FII(6,6);FIIK(-);FIIS(-);FIIY(-)",Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.8713162,11.046433
CP025879.1,2018-12-19,41.11052675284413,Homo sapiens,stool,36127,India,,circular,20.5937,78.9629,,"IncX1_1, EU370913, |IncX3_1, JN247852, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),6.1834555,14.328584
CP025878.1,2018-12-19,47.65911872705018,Homo sapiens,stool,84968,India,,circular,20.5937,78.9629,,"IncB/O/K/Z_4, FN868832, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-3.1894665,12.690556
CP025877.1,2018-12-19,44.513021834591335,Homo sapiens,stool,49417,India,,circular,20.5937,78.9629,,,,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-6.244155,14.169432999999998
CP025876.1,2018-12-19,45.886339096223296,Homo sapiens,stool,80573,India,,circular,20.5937,78.9629,,"IncFII(29)_1, CP003035, ",IncF RST(F12:A-:B-):FIA(-);FIB(-);FIC(5?);FII(12);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.451612,10.642414
CP025875.1,2018-12-19,41.53500725609923,Homo sapiens,stool,36521,India,,circular,20.5937,78.9629,,"IncX4_1, CP002895, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),13.174532,9.605403
CP025891.1,2018-12-19,53.40293175659029,Homo sapiens,stool,32472,India,,circular,20.5937,78.9629,,"IncFII(pHN7A8)_1, JN232517, ",IncF RST(F6:A-:B-):FIA(-);FIB(-);FIC(-);FII(6);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.8640215,11.010044
CP025890.1,2018-12-19,45.88690860348508,Homo sapiens,stool,80572,India,,circular,20.5937,78.9629,,,,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.4571351,10.669267
CP025889.1,2018-12-19,47.65534928589916,Homo sapiens,stool,85002,India,,circular,20.5937,78.9629,,"IncB/O/K/Z_4, FN868832, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-3.2171862,12.660577
CP025888.1,2018-12-19,46.544655537393815,Homo sapiens,stool,111957,India,,circular,20.5937,78.9629,,"IncFIB(H89-PhagePlasmid)_1, HG530657, ",IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),19.955116,6.2951703000000006
CP025899.1,2018-12-19,45.82592792932025,Homo sapiens,stool,77646,India,,circular,20.5937,78.9629,,"IncFIC(FII)_1, AP001918, ",IncF RST(F106:A-:B-):FIA(-);FIB(-);FIC(6?);FII(106);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),8.155842,8.238322
CP025898.1,2018-12-19,51.73618065291408,Homo sapiens,stool,79888,India,,circular,20.5937,78.9629,,"IncFII(pCoo)_1, CR942285, ",IncF RST(F58:A-:B-):FIA(-);FIB(-);FIC(-);FII(58);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.5886997,10.762516
CP025897.1,2018-12-19,46.97764374221465,Homo sapiens,stool,152530,India,,circular,20.5937,78.9629,,"IncFIB(AP001918)_1, AP001918, |IncFIB(H89-PhagePlasmid)_1, HG530657, ",IncF RST(F-:A-:B-):FIA(-);FIB(~52);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),19.93185,6.2715440000000005
CP025909.1,2018-12-19,51.91105436235952,Homo sapiens,stool,83017,Mali,,circular,17.5707,-3.9962,,"IncFII(pCoo)_1, CR942285, ",IncF RST(F106:A-:B-):FIA(-);FIB(-);FIC(-);FII(106);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.6127725,10.775953
CP025908.1,2018-12-19,47.79876361897606,Homo sapiens,stool,146395,Mali,,circular,17.5707,-3.9962,,"IncFII_1, AY458016, ",IncF RST(F11:A-:B-):FIA(-);FIB(-);FIC(5?);FII(11);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.5694597,10.564231
CP025928.1,2018-12-19,45.883856875131855,Homo sapiens,stool,80573,India,,circular,20.5937,78.9629,,"IncFII(29)_1, CP003035, ",IncF RST(F12:A-:B-):FIA(-);FIB(-);FIC(5?);FII(12);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),1.4391116000000002,10.641167
CP025927.1,2018-12-19,53.24265323257767,Homo sapiens,stool,29775,India,,circular,20.5937,78.9629,,"IncFII(pHN7A8)_1, JN232517, ",IncF RST(F6:A-:B-):FIA(-);FIB(-);FIC(-);FII(6);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.86722296,11.0385065
CP025926.1,2018-12-19,47.66113183567318,Homo sapiens,stool,84977,India,,circular,20.5937,78.9629,,"IncB/O/K/Z_4, FN868832, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-3.1882672000000003,12.690025
CP025925.1,2018-12-19,41.53500725609923,Homo sapiens,stool,36521,India,,circular,20.5937,78.9629,,"IncX4_1, CP002895, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),13.174927,9.605308
CP027765.1,2018-03-26,50.90076519852986,Homo sapiens,stool,66388,USA,,circular,39.7837304,-100.4458825,USA,"IncFII(pSE11)_1, AP009242, ",IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(3?);FII(~43);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.50053996,10.682422
CP027764.1,2018-03-26,46.33424952198853,Homo sapiens,stool,66944,USA,,linear,39.7837304,-100.4458825,USA,"IncFIB(AP001918)_1, AP001918, |IncB/O/K/Z_3, GQ259888, ",IncF RST(F-:A-:B11):FIA(-);FIB(11);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-0.7764681999999999,12.282006
