ACC_NUCCORE	CreateDate_NUCCORE	GC_NUCCORE	Host_BIOSAMPLE	IsolationSource_BIOSAMPLE	Length_NUCCORE	Location_BIOSAMPLE	SamplType_BIOSAMPLE	Topology_NUCCORE	loc_lat	loc_lng	loc_parsed	plasmidfinder	pmlst	taxon_class_name	taxon_family_name	taxon_genus_name	taxon_name	taxon_order_name	taxon_phylum_name	taxon_species_name	taxon_superkingdom_name	D1	D2
CP073592.1	2021-04-20	47.807003388736476	Homo sapiens		92955	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFII_1, AY458016, |IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.008619382	12.413958000000001
CP073594.1	2021-04-23	47.81013652354466	Homo sapiens		92951	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFII_1, AY458016, |IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.009955929	12.415834
CP073596.1	2021-04-23	47.80756486940058	Homo sapiens		92956	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.008738259	12.413859
CP073598.1	2021-04-23	47.80438477592031	Homo sapiens		92958	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	0.000819518	12.421897
CP073600.1	2021-04-23	47.80924923891178	Homo sapiens		92959	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.009619235	12.416164
CP073602.1	2021-04-23	48.03459119496857	Homo sapiens		95400	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFII_1, AY458016, |IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	15.376780499999999	16.036114
CP073606.1	2021-04-23	42.409449575057224	Homo sapiens		62479	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncI2(Delta)_1, AP002527, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	12.521483	-6.0271764
CP073605.1	2021-04-23	47.80859349785916	Homo sapiens		92954	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFIA_1, AP001918, |IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.009676439	12.428645
CP073604.1	2021-04-23	45.26098065458085	Homo sapiens		41095	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom			Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	14.497681	-1.1627061
CP073608.1	2021-04-23	47.807612039845964	Homo sapiens		92958	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFII_1, AY458016, |IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.0076673984999999995	12.422619000000001
CP073612.1	2021-04-23	45.30326781623057	Homo sapiens		41465	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom			Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	14.497476999999998	-1.1620493
CP073611.1	2021-04-23	42.409449575057224	Homo sapiens		62479	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncI2(Delta)_1, AP002527, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	12.520724000000001	-6.020198000000001
CP073610.1	2021-04-23	47.808734939759034	Homo sapiens		92960	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.007607779	12.412905
CP073616.1	2021-04-23	40.80026340958622	Homo sapiens		63779	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncX4_1, CP002895, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	0.37818992	-8.718675
CP073615.1	2021-04-23	47.80656415557566	Homo sapiens		92868	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.015990864	12.418289999999999
CP073614.1	2021-04-23	42.111346893708046	Homo sapiens		57963	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncI2(Delta)_1, AP002527, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	12.562294999999999	-6.0211716
CP073618.1	2021-04-23	47.80653628520407	Homo sapiens		92958	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.010041831999999999	12.409178
CP073620.1	2021-04-23	47.807517696925366	Homo sapiens		92954	United Kingdom		circular	54.70235450000001	-3.2765753	United Kingdom	IncFII_1, AY458016, |IncFIB(AP001918)_1, AP001918, |IncFIA_1, AP001918, 	IncF RST(F23:A-:B3):FIA(20?);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.012083442	12.420024
CP072912.1	2021-04-17	51.17250872621798	Homo sapiens	cerebrospinal fluid from newborn infant	122046			circular				Col156_1, NC_009781, |IncFII(29)_1, CP003035, |IncFIB(AP001918)_1, AP001918, 	IncF RST(F29:A-:B10):FIA(-);FIB(10);FIC(-);FII(29);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	0.55306715	11.955652
AP024133.2	2021-03-04	46.0446483783372	Homo sapiens		111583			circular				IncFIB(H89-PhagePlasmid)_1, HG530657, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	19.95259	6.2938504
AP024132.2	2021-03-04	51.26562215462646	Homo sapiens		148267			circular				IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F2:A-:B-):FIA(-);FIB(58?);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.8977349	11.326653
AP024122.1	2021-03-04	47.396630934150075	Homo sapiens		1306	Japan		circular	36.5748441	139.2394179	Japan			Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.68912333	-3.3858477999999996
AP024121.1	2021-03-04	35.457953936797	Homo sapiens		1867	Japan		circular	36.5748441	139.2394179	Japan			Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.6607008000000001	12.175353
AP024120.1	2021-03-04	50.46810363596778	Homo sapiens		4593	Japan		circular	36.5748441	139.2394179	Japan	ColRNAI_1, DQ298019, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	6.722107	18.750872
AP024119.1	2021-03-04	49.13637111367001	Homo sapiens		6079	Japan		circular	36.5748441	139.2394179	Japan	Col156_1, NC_009781, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-4.3326874	-4.6898599999999995
AP024118.1	2021-03-04	45.584512285927026	Homo sapiens		6715	Japan		circular	36.5748441	139.2394179	Japan	Col(pHAD28)_1, KU674895, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	8.995364	5.589118
AP024117.1	2021-03-04	52.28554136272418	Homo sapiens		94179	Japan		circular	36.5748441	139.2394179	Japan	IncB/O/K/Z_1, CU928147, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-3.1915436	12.708147
AP024116.1	2021-03-04	53.69995489778579	Homo sapiens		95339	Japan		circular	36.5748441	139.2394179	Japan	IncFII_1, AY458016, 	IncF RST(F95:A-:B-):FIA(-);FIB(-);FIC(-);FII(95);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	0.37291640000000004	10.609753
AP024115.1	2021-03-04	50.902330148282154	Homo sapiens		109993	Japan		circular	36.5748441	139.2394179	Japan	IncI1-I(Alpha)_1, AP005147, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	7.7071843	8.305452
AP024113.1	2021-03-04	51.106396117519466	Homo sapiens		126311	Japan		circular	36.5748441	139.2394179	Japan	IncFIB(AP001918)_1, AP001918, |IncFIC(FII)_1, AP001918, |IncFIA_1, AP001918, 	IncF RST(--:A6:B-):FIA(6);FIB(26?);FIC(4);FII(18);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.6755061	11.127637
LC521848.1	2021-04-08	45.78165395817653	Homo sapiens		61114	Thailand:Bangkok		circular	13.765999999999998	100.5268		IncX3_1, JN247852, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	22.366165	14.084307
LC521846.1	2021-04-08	51.96716163474048	Homo sapiens		156037	Thailand:Sakon Nakhon		circular	17.1904453	103.9730898	Thailand,Sakon Nakhon	IncFIB(AP001918)_1, AP001918, |IncFII(pRSB107)_1, AJ851089, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(10?);FIC(3?);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-2.0154054	6.181554
LC521844.1	2021-04-08	51.76800125724534	Homo sapiens		108173	Thailand:Surin		circular	14.8841804	103.4906232	Thailand,Surin	IncFIA_1, AP001918, |IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, |IncFII(pAMA1167-NDM-5)_1, CP024805, 	IncF RST(F1:A-:B49):FIA(1,6);FIB(49);FIC(-);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-1.5491973999999997	6.258771
LC521843.1	2021-04-08	52.14682217513845	Homo sapiens		151503	Thailand:Udon Thani		circular	17.5211917	102.66800119999999	Thailand,Udon Thani	IncFIB(AP001918)_1, AP001918, |IncFII(pRSB107)_1, AJ851089, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(10?);FIC(3?);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-2.0245616	6.2002835
LC521842.1	2021-04-08	51.96908425565731	Homo sapiens		156037	Thailand:Udon Thani		circular	17.5211917	102.66800119999999	Thailand,Udon Thani	IncFIB(AP001918)_1, AP001918, |IncFII(pRSB107)_1, AJ851089, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(10?);FIC(3?);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-2.0160720000000003	6.178585
LC521841.1	2021-04-08	52.62453063046504	Homo sapiens		152332	Thailand:Udon Thani		circular	17.5211917	102.66800119999999	Thailand,Udon Thani	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, |IncFII(pSE11)_1, AP009242, 	IncF RST(F-:A-:B-):FIA(-);FIB(58?);FIC(3?);FII(31,36);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	7.478857499999999	10.322302
LC521836.1	2021-04-08	52.10687786087451	Homo sapiens		102023	Thailand:Udon Thani		circular	17.5211917	102.66800119999999	Thailand,Udon Thani	IncFII_1, AY458016, 	IncF RST(F2:A-:B-):FIA(-);FIB(-);FIC(-);FII(2);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	0.49516708	10.325157
CP048936.1	2021-04-06	53.4195513565141	Homo sapiens		193695	Greece	urine	circular	38.9953683	21.9877132	Greece	IncB/O/K/Z_2, GU256641, |IncFII_1, AY458016, 	IncF RST(F88:A-:B-):FIA(-);FIB(-);FIC(-);FII(88);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-3.1735182	12.719792
LC613142.1	2021-03-12	52.199796229401905	Homo sapiens		118761	Thailand:Sakon Nakhon		circular	17.1904453	103.9730898	Thailand,Sakon Nakhon	IncQ1_1, M28829, |IncFII(pAMA1167-NDM-5)_1, CP024805, |IncFIA_1, AP001918, |IncFIB(AP001918)_1, AP001918, 	IncF RST(F1:A-:B49):FIA(1,6);FIB(49);FIC(-);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-1.5489389	6.251089
CP068929.1	2021-02-02	46.3816686800982	Homo sapiens		51322	Netherlands	Plasmid	circular	52.2379891	5.5346074	Netherlands	ColKP3_1, JN205800, |IncX3_1, JN247852, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	20.367296	14.735094
CP068837.1	2021-02-02	46.303471640802975	Homo sapiens		51359	Netherlands	Plasmid	circular	52.2379891	5.5346074	Netherlands	ColKP3_1, JN205800, |IncX3_1, JN247852, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	20.365763	14.731224
LC603215.1	2021-02-02	50.87253134259113	Homo sapiens		94839	Cambodia:Phnom Penh		circular	11.576004	104.899048		IncFIA_1, AP001918, |IncFII(pAMA1167-NDM-5)_1, CP024805, |IncQ1_1, M28829, |IncFIB(AP001918)_1, AP001918, 	IncF RST(F1:A-:B49):FIA(1,6);FIB(49);FIC(-);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-1.5518228	6.24725
CP048874.1	2020-08-10	47.49176835173349	Homo sapiens	urine	5163	USA		circular	39.7837304	-100.4458825	USA	Col156_1, NC_009781, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-4.1666512	-4.522693599999999
CP048872.1	2020-08-10	45.77915777217154	Homo sapiens	urine	5153	USA		circular	39.7837304	-100.4458825	USA	ColRNAI_1, DQ298019, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	9.848275	5.781516000000001
CP048871.1	2020-08-10	51.194375119188784	Homo sapiens	urine	120607	USA		circular	39.7837304	-100.4458825	USA	IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncFII(29)_1, CP003035, 	IncF RST(F29:A-:B-):FIA(-);FIB(10?);FIC(-);FII(29);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	0.56706893	11.93137
CP048869.1	2020-08-10	53.00687285223368	Homo sapiens	urine	65184	USA		circular	39.7837304	-100.4458825	USA	IncFII(pCoo)_1, CR942285, 	IncF RST(F106:A-:B-):FIA(-);FIB(-);FIC(-);FII(106);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	1.5792837	10.75878
CP048868.1	2020-08-10	51.63690310202898	Homo sapiens	urine	179302	USA		circular	39.7837304	-100.4458825	USA	IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncFII(pRSB107)_1, AJ851089, |IncFIA_1, AP001918, 	IncF RST(F1:A-:B-):FIA(1,6);FIB(58?);FIC(3?);FII(1);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-1.9777797	6.1007
